Date,Cases
23-Sep,4
24-Sep,5
25-Sep,5
26-Sep,7
27-Sep,9
28-Sep,10
29-Sep,4
30-Sep,13
1-Oct,9
2-Oct,20
3-Oct,18
4-Oct,30
5-Oct,29
6-Oct,36
7-Oct,57
8-Oct,48
9-Oct,58
10-Oct,124
11-Oct,150
12-Oct,201
13-Oct,320
14-Oct,438
15-Oct,510
16-Oct,698
17-Oct,689
18-Oct,856
19-Oct,1104
20-Oct,1189
21-Oct,1190
22-Oct,1143
23-Oct,2058
24-Oct,1943
25-Oct,2319
26-Oct,1916
27-Oct,1443
28-Oct,1424
29-Oct,1450
30-Oct,1481
31-Oct,672
1-Nov,557
2-Nov,467
3-Nov,385
4-Nov,379
5-Nov,457
6-Nov,305
7-Nov,337
8-Nov,221
9-Nov,234
10-Nov,115
11-Nov,132
12-Nov,185
13-Nov,240
14-Nov,130
15-Nov,104
16-Nov,100
17-Nov,36
18-Nov,38
19-Nov,26
20-Nov,34
21-Nov,36
22-Nov,50
23-Nov,43
24-Nov,19
